,Name,ranks
27,Furina,8.61
52,Neuvillette,8.08
51,Navia,8
50,Nahida,7.97
85,Zhongli,7.79
83,Yoimiya,7.53
73,Wriothesley,7.27
33,Kaedehara Kazuha,7.27
82,Yelan,7.25
75,Xianyun,7.07
79,Yae Miko,7.07
18,Dehya,7.06
63,Shenhe,7.04
46,Lynette,6.95
25,Fischl,6.92
42,Kuki Shinobu,6.91
31,Hu Tao,6.87
22,Ei,6.87
8,Beidou,6.85
76,Xiao,6.78
17,Cyno,6.77
68,Tartaglia,6.77
71,Venti,6.77
15,Clorinde,6.74
5,Arataki Itto,6.7
2,Alhaitham,6.7
53,Nilou,6.69
49,Mona,6.68
45,Lumine,6.63
43,Layla,6.63
32,Jean,6.6
16,Collei,6.56
80,Yanfei,6.55
23,Eula,6.52
37,Kaveh,6.48
24,Faruzan,6.42
39,Kirara,6.4
54,Ningguang,6.39
47,Lyney,6.35
70,Tighnari,6.33
1,Albedo,6.32
13,Chiori,6.31
38,Keqing,6.31
29,Ganyu,6.29
84,Yun Jin,6.29
58,Raiden Shogun,6.27
10,Candace,6.27
61,Sangonomiya Kokomi,6.26
69,Thoma,6.22
40,Klee,6.2
72,Wanderer,6.19
34,Kaeya,6.12
35,Kamisato Ayaka,6.11
44,Lisa,6.11
11,Charlotte,6.07
55,Noelle,6.03
60,Rosaria,5.97
64,Shikanoin Heizou,5.95
81,Yaoyao,5.92
36,Kamisato Ayato,5.92
12,Chevreuse,5.88
65,Sigewinne,5.83
28,Gaming,5.81
41,Kujou Sara,5.8
67,Sucrose,5.79
19,Diluc,5.78
4,Amber,5.77
26,Freminet,5.75
74,Xiangling,5.69
66,Signora,5.69
77,Xingqiu,5.68
9,Bennett,5.66
6,Baizhu,5.59
14,Chongyun,5.5
0,Aether,5.49
59,Razor,5.36
7,Barbara,5.31
62,Sayu,5.24
30,Gorou,5.2
57,Qiqi,5.09
78,Xinyan,5
56,Paimon,5
20,Diona,4.82
48,Mika,4.02
21,Dori,3.78
3,Aloy,3.14
